Average Size,Climate,Soil Type,Experience,Labour Requirement,Irrigation System,Pest and Disease Resistance,Crop Yield Potential,Recommended Plant
Less than 10 acres,Temperate,Sandy Soil,Successful,Medium,Fully Irrigated,Moderate,High,Rosemary
Less than 10 acres,Temperate,Sandy Soil,Successful,Medium,Fully Irrigated,Moderate,Medium,Lavender
Less than 10 acres,Temperate,Sandy Soil,Successful,Medium,Fully Irrigated,Low,High,Tea
Less than 10 acres,Temperate,Sandy Soil,Successful,Medium,Fully Irrigated,Low,Medium,Coffee
Less than 10 acres,Temperate,Sandy Soil,Successful,High,Rain-fed,Moderate,High,Cocoa
Less than 10 acres,Temperate,Sandy Soil,Successful,High,Rain-fed,Moderate,Medium,Cashew
Less than 10 acres,Temperate,Sandy Soil,Successful,High,Rain-fed,Low,High,Almond
Less than 10 acres,Temperate,Sandy Soil,Successful,High,Rain-fed,Low,Medium,Pistachio
Less than 10 acres,Temperate,Sandy Soil,Successful,High,Partial Irrigation,Moderate,High,Walnut
Less than 10 acres,Temperate,Sandy Soil,Successful,High,Partial Irrigation,Moderate,Medium,Coconut
Less than 10 acres,Temperate,Sandy Soil,Successful,High,Partial Irrigation,Low,High,Sesame
Less than 10 acres,Temperate,Sandy Soil,Successful,High,Partial Irrigation,Low,Medium,Flaxseed
Less than 10 acres,Temperate,Sandy Soil,Successful,High,Fully Irrigated,Moderate,High,Jute
Less than 10 acres,Temperate,Sandy Soil,Successful,High,Fully Irrigated,Moderate,Medium,Rubber
Less than 10 acres,Temperate,Sandy Soil,Successful,High,Fully Irrigated,Low,High,Vanilla
Less than 10 acres,Temperate,Sandy Soil,Successful,High,Fully Irrigated,Low,Medium,Cardamom
Less than 10 acres,Arid,Loamy Soil,New for Farming,Medium,Rain-fed,Moderate,High,Clove
Less than 10 acres,Arid,Loamy Soil,New for Farming,Medium,Rain-fed,Moderate,Medium,Nutmeg
Less than 10 acres,Arid,Loamy Soil,New for Farming,Medium,Rain-fed,Low,High,Pepper
Less than 10 acres,Arid,Loamy Soil,New for Farming,Medium,Rain-fed,Low,Medium,Fenugreek
Less than 10 acres,Arid,Loamy Soil,New for Farming,Medium,Partial Irrigation,Moderate,High,Fennel
Less than 10 acres,Arid,Loamy Soil,New for Farming,Medium,Partial Irrigation,Moderate,Medium,Celery
Less than 10 acres,Arid,Loamy Soil,New for Farming,Medium,Partial Irrigation,Low,High,Asparagus
Less than 10 acres,Arid,Loamy Soil,New for Farming,Medium,Partial Irrigation,Low,Medium,Okra
Less than 10 acres,Arid,Loamy Soil,New for Farming,Medium,Fully Irrigated,Moderate,High,Bitter Gourd
Less than 10 acres,Arid,Loamy Soil,New for Farming,Medium,Fully Irrigated,Moderate,Medium,Sweet Potato
Less than 10 acres,Arid,Loamy Soil,New for Farming,Medium,Fully Irrigated,Low,High,Yam
Less than 10 acres,Arid,Loamy Soil,New for Farming,Medium,Fully Irrigated,Low,Medium,Taro
Less than 10 acres,Arid,Loamy Soil,New for Farming,High,Rain-fed,Moderate,High,Pear
Less than 10 acres,Arid,Loamy Soil,New for Farming,High,Rain-fed,Moderate,Medium,Guava
Less than 10 acres,Arid,Loamy Soil,New for Farming,High,Rain-fed,Low,High,Lychee
Less than 10 acres,Arid,Loamy Soil,New for Farming,High,Rain-fed,Low,Medium,Pomegranate
Less than 10 acres,Arid,Loamy Soil,New for Farming,High,Partial Irrigation,Moderate,High,Fig
Less than 10 acres,Arid,Loamy Soil,New for Farming,High,Partial Irrigation,Moderate,Medium,Apricot
Less than 10 acres,Arid,Loamy Soil,New for Farming,High,Partial Irrigation,Low,High,Peach
Less than 10 acres,Arid,Loamy Soil,New for Farming,High,Partial Irrigation,Low,Medium,Cherry
Less than 10 acres,Arid,Loamy Soil,New for Farming,High,Fully Irrigated,Moderate,High,Plum
Less than 10 acres,Arid,Loamy Soil,New for Farming,High,Fully Irrigated,Moderate,Medium,Kiwi
Less than 10 acres,Arid,Loamy Soil,New for Farming,High,Fully Irrigated,Low,High,Dragon Fruit
Less than 10 acres,Arid,Loamy Soil,New for Farming,High,Fully Irrigated,Low,Medium,Jackfruit
Less than 10 acres,Arid,Loamy Soil,Successful,Medium,Rain-fed,Moderate,High,Persimmon
Less than 10 acres,Arid,Loamy Soil,Successful,Medium,Rain-fed,Moderate,Medium,Date Palm
Less than 10 acres,Arid,Loamy Soil,Successful,Medium,Rain-fed,Low,High,Mulberry
Less than 10 acres,Arid,Loamy Soil,Successful,Medium,Rain-fed,Low,Medium,Gooseberry
Less than 10 acres,Arid,Loamy Soil,Successful,Medium,Partial Irrigation,Moderate,High,Elderberry
Less than 10 acres,Arid,Loamy Soil,Successful,Medium,Partial Irrigation,Moderate,Medium,Blackberry
Less than 10 acres,Arid,Loamy Soil,Successful,Medium,Partial Irrigation,Low,High,Hazelnut
Less than 10 acres,Arid,Loamy Soil,Successful,Medium,Partial Irrigation,Low,Medium,Macadamia
Less than 10 acres,Arid,Loamy Soil,Successful,Medium,Fully Irrigated,Moderate,High,Saffron
Less than 10 acres,Arid,Loamy Soil,Successful,Medium,Fully Irrigated,Moderate,Medium,Cumin
Less than 10 acres,Arid,Loamy Soil,Successful,Medium,Fully Irrigated,Low,High,Anise
Less than 10 acres,Arid,Loamy Soil,Successful,Medium,Fully Irrigated,Low,Medium,Caraway
Less than 10 acres,Arid,Loamy Soil,Successful,High,Rain-fed,Moderate,High,Dill
Less than 10 acres,Arid,Loamy Soil,Successful,High,Rain-fed,Moderate,Medium,Hemp
Less than 10 acres,Arid,Loamy Soil,Successful,High,Rain-fed,Low,High,Aloe Vera
Less than 10 acres,Arid,Loamy Soil,Successful,High,Rain-fed,Low,Medium,Eucalyptus
Less than 10 acres,Arid,Loamy Soil,Successful,High,Partial Irrigation,Moderate,High,Ginseng
Less than 10 acres,Arid,Loamy Soil,Successful,High,Partial Irrigation,Moderate,Medium,Yerba Mate
Less than 10 acres,Arid,Loamy Soil,Successful,High,Partial Irrigation,Low,High,Paddy
Less than 10 acres,Arid,Loamy Soil,Successful,High,Partial Irrigation,Low,Medium,Wheat
Less than 10 acres,Arid,Loamy Soil,Successful,High,Fully Irrigated,Moderate,High,Potato
Less than 10 acres,Arid,Loamy Soil,Successful,High,Fully Irrigated,Moderate,Medium,Tomato
Less than 10 acres,Arid,Loamy Soil,Successful,High,Fully Irrigated,Low,High,Corn
Less than 10 acres,Arid,Loamy Soil,Successful,High,Fully Irrigated,Low,Medium,Barley
Less than 10 acres,Arid,Clayey Soil,New for Farming,Medium,Rain-fed,Moderate,High,Carrot
Less than 10 acres,Arid,Clayey Soil,New for Farming,Medium,Rain-fed,Moderate,Medium,Onion
Less than 10 acres,Arid,Clayey Soil,New for Farming,Medium,Rain-fed,Low,High,Sugarcane
Less than 10 acres,Arid,Clayey Soil,New for Farming,Medium,Rain-fed,Low,Medium,Soybean
Less than 10 acres,Arid,Clayey Soil,New for Farming,Medium,Partial Irrigation,Moderate,High,Cabbage
Less than 10 acres,Arid,Clayey Soil,New for Farming,Medium,Partial Irrigation,Moderate,Medium,Cauliflower
Less than 10 acres,Arid,Clayey Soil,New for Farming,Medium,Partial Irrigation,Low,High,Spinach
Less than 10 acres,Arid,Clayey Soil,New for Farming,Medium,Partial Irrigation,Low,Medium,Lettuce
Less than 10 acres,Arid,Clayey Soil,New for Farming,Medium,Fully Irrigated,Moderate,High,Peas
Less than 10 acres,Arid,Clayey Soil,New for Farming,Medium,Fully Irrigated,Moderate,Medium,Chickpeas
Less than 10 acres,Arid,Clayey Soil,New for Farming,Medium,Fully Irrigated,Low,High,Lentils
Less than 10 acres,Arid,Clayey Soil,New for Farming,Medium,Fully Irrigated,Low,Medium,Mustard
Less than 10 acres,Arid,Clayey Soil,New for Farming,High,Rain-fed,Moderate,High,Sunflower
Less than 10 acres,Arid,Clayey Soil,New for Farming,High,Rain-fed,Moderate,Medium,Groundnut
Less than 10 acres,Arid,Clayey Soil,New for Farming,High,Rain-fed,Low,High,Cotton
Less than 10 acres,Arid,Clayey Soil,New for Farming,High,Rain-fed,Low,Medium,Millet
Less than 10 acres,Arid,Clayey Soil,New for Farming,High,Partial Irrigation,Moderate,High,Sorghum
Less than 10 acres,Arid,Clayey Soil,New for Farming,High,Partial Irrigation,Moderate,Medium,Rice
Less than 10 acres,Arid,Clayey Soil,New for Farming,High,Partial Irrigation,Low,High,Oats
Less than 10 acres,Arid,Clayey Soil,New for Farming,High,Partial Irrigation,Low,Medium,Rye
Less than 10 acres,Arid,Clayey Soil,New for Farming,High,Fully Irrigated,Moderate,High,Banana
Less than 10 acres,Arid,Clayey Soil,New for Farming,High,Fully Irrigated,Moderate,Medium,Mango
Less than 10 acres,Arid,Clayey Soil,New for Farming,High,Fully Irrigated,Low,High,Apple
Less than 10 acres,Arid,Clayey Soil,New for Farming,High,Fully Irrigated,Low,Medium,Grapes
Less than 10 acres,Arid,Clayey Soil,Successful,Medium,Rain-fed,Moderate,High,Orange
Less than 10 acres,Arid,Clayey Soil,Successful,Medium,Rain-fed,Moderate,Medium,Papaya
Less than 10 acres,Arid,Clayey Soil,Successful,Medium,Rain-fed,Low,High,Pineapple
Less than 10 acres,Arid,Clayey Soil,Successful,Medium,Rain-fed,Low,Medium,Strawberry
Less than 10 acres,Arid,Clayey Soil,Successful,Medium,Partial Irrigation,Moderate,High,Blueberry
Less than 10 acres,Arid,Clayey Soil,Successful,Medium,Partial Irrigation,Moderate,Medium,Raspberry
Less than 10 acres,Arid,Clayey Soil,Successful,Medium,Partial Irrigation,Low,High,Watermelon
Less than 10 acres,Arid,Clayey Soil,Successful,Medium,Partial Irrigation,Low,Medium,Cucumber
Less than 10 acres,Arid,Clayey Soil,Successful,Medium,Fully Irrigated,Moderate,High,Pumpkin
Less than 10 acres,Arid,Clayey Soil,Successful,Medium,Fully Irrigated,Moderate,Medium,Zucchini
Less than 10 acres,Arid,Clayey Soil,Successful,Medium,Fully Irrigated,Low,High,Bell Pepper
Less than 10 acres,Arid,Clayey Soil,Successful,Medium,Fully Irrigated,Low,Medium,Chili Pepper
Less than 10 acres,Arid,Clayey Soil,Successful,High,Rain-fed,Moderate,High,Brinjal (Eggplant)
Less than 10 acres,Arid,Clayey Soil,Successful,High,Rain-fed,Moderate,Medium,Radish
Less than 10 acres,Arid,Clayey Soil,Successful,High,Rain-fed,Low,High,Beetroot
Less than 10 acres,Arid,Clayey Soil,Successful,High,Rain-fed,Low,Medium,Garlic
Less than 10 acres,Arid,Clayey Soil,Successful,High,Partial Irrigation,Moderate,High,Ginger
Less than 10 acres,Arid,Clayey Soil,Successful,High,Partial Irrigation,Moderate,Medium,Turmeric
Less than 10 acres,Arid,Clayey Soil,Successful,High,Partial Irrigation,Low,High,Basil
Less than 10 acres,Arid,Clayey Soil,Successful,High,Partial Irrigation,Low,Medium,Coriander
Less than 10 acres,Arid,Clayey Soil,Successful,High,Fully Irrigated,Moderate,High,Parsley
Less than 10 acres,Arid,Clayey Soil,Successful,High,Fully Irrigated,Moderate,Medium,Thyme
Less than 10 acres,Arid,Clayey Soil,Successful,High,Fully Irrigated,Low,High,Rosemary
Less than 10 acres,Arid,Clayey Soil,Successful,High,Fully Irrigated,Low,Medium,Lavender
Less than 10 acres,Arid,Sandy Soil,New for Farming,Medium,Rain-fed,Moderate,High,Tea
Less than 10 acres,Arid,Sandy Soil,New for Farming,Medium,Rain-fed,Moderate,Medium,Coffee
Less than 10 acres,Arid,Sandy Soil,New for Farming,Medium,Rain-fed,Low,High,Cocoa
Less than 10 acres,Arid,Sandy Soil,New for Farming,Medium,Rain-fed,Low,Medium,Cashew
Less than 10 acres,Arid,Sandy Soil,New for Farming,Medium,Partial Irrigation,Moderate,High,Almond
Less than 10 acres,Arid,Sandy Soil,New for Farming,Medium,Partial Irrigation,Moderate,Medium,Pistachio
Less than 10 acres,Arid,Sandy Soil,New for Farming,Medium,Partial Irrigation,Low,High,Walnut
Less than 10 acres,Arid,Sandy Soil,New for Farming,Medium,Partial Irrigation,Low,Medium,Coconut
Less than 10 acres,Arid,Sandy Soil,New for Farming,Medium,Fully Irrigated,Moderate,High,Sesame
Less than 10 acres,Arid,Sandy Soil,New for Farming,Medium,Fully Irrigated,Moderate,Medium,Flaxseed
Less than 10 acres,Arid,Sandy Soil,New for Farming,Medium,Fully Irrigated,Low,High,Jute
Less than 10 acres,Arid,Sandy Soil,New for Farming,Medium,Fully Irrigated,Low,Medium,Rubber
Less than 10 acres,Arid,Sandy Soil,New for Farming,High,Rain-fed,Moderate,High,Vanilla
Less than 10 acres,Arid,Sandy Soil,New for Farming,High,Rain-fed,Moderate,Medium,Cardamom
Less than 10 acres,Arid,Sandy Soil,New for Farming,High,Rain-fed,Low,High,Clove
Less than 10 acres,Arid,Sandy Soil,New for Farming,High,Rain-fed,Low,Medium,Nutmeg
Less than 10 acres,Arid,Sandy Soil,New for Farming,High,Partial Irrigation,Moderate,High,Pepper
Less than 10 acres,Arid,Sandy Soil,New for Farming,High,Partial Irrigation,Moderate,Medium,Fenugreek
Less than 10 acres,Arid,Sandy Soil,New for Farming,High,Partial Irrigation,Low,High,Fennel
Less than 10 acres,Arid,Sandy Soil,New for Farming,High,Partial Irrigation,Low,Medium,Celery
Less than 10 acres,Arid,Sandy Soil,New for Farming,High,Fully Irrigated,Moderate,High,Asparagus
Less than 10 acres,Arid,Sandy Soil,New for Farming,High,Fully Irrigated,Moderate,Medium,Okra
Less than 10 acres,Arid,Sandy Soil,New for Farming,High,Fully Irrigated,Low,High,Bitter Gourd
Less than 10 acres,Arid,Sandy Soil,New for Farming,High,Fully Irrigated,Low,Medium,Sweet Potato
Less than 10 acres,Arid,Sandy Soil,Successful,Medium,Rain-fed,Moderate,High,Yam
Less than 10 acres,Arid,Sandy Soil,Successful,Medium,Rain-fed,Moderate,Medium,Taro
Less than 10 acres,Arid,Sandy Soil,Successful,Medium,Rain-fed,Low,High,Pear
Less than 10 acres,Arid,Sandy Soil,Successful,Medium,Rain-fed,Low,Medium,Guava
Less than 10 acres,Arid,Sandy Soil,Successful,Medium,Partial Irrigation,Moderate,High,Lychee
Less than 10 acres,Arid,Sandy Soil,Successful,Medium,Partial Irrigation,Moderate,Medium,Pomegranate
Less than 10 acres,Arid,Sandy Soil,Successful,Medium,Partial Irrigation,Low,High,Fig
Less than 10 acres,Arid,Sandy Soil,Successful,Medium,Partial Irrigation,Low,Medium,Apricot
Less than 10 acres,Arid,Sandy Soil,Successful,Medium,Fully Irrigated,Moderate,High,Peach
Less than 10 acres,Arid,Sandy Soil,Successful,Medium,Fully Irrigated,Moderate,Medium,Cherry
Less than 10 acres,Arid,Sandy Soil,Successful,Medium,Fully Irrigated,Low,High,Plum
Less than 10 acres,Arid,Sandy Soil,Successful,Medium,Fully Irrigated,Low,Medium,Kiwi
Less than 10 acres,Arid,Sandy Soil,Successful,High,Rain-fed,Moderate,High,Dragon Fruit
Less than 10 acres,Arid,Sandy Soil,Successful,High,Rain-fed,Moderate,Medium,Jackfruit
Less than 10 acres,Arid,Sandy Soil,Successful,High,Rain-fed,Low,High,Persimmon
Less than 10 acres,Arid,Sandy Soil,Successful,High,Rain-fed,Low,Medium,Date Palm
Less than 10 acres,Arid,Sandy Soil,Successful,High,Partial Irrigation,Moderate,High,Mulberry
Less than 10 acres,Arid,Sandy Soil,Successful,High,Partial Irrigation,Moderate,Medium,Gooseberry
Less than 10 acres,Arid,Sandy Soil,Successful,High,Partial Irrigation,Low,High,Elderberry
Less than 10 acres,Arid,Sandy Soil,Successful,High,Partial Irrigation,Low,Medium,Blackberry
Less than 10 acres,Arid,Sandy Soil,Successful,High,Fully Irrigated,Moderate,High,Hazelnut
Less than 10 acres,Arid,Sandy Soil,Successful,High,Fully Irrigated,Moderate,Medium,Macadamia
Less than 10 acres,Arid,Sandy Soil,Successful,High,Fully Irrigated,Low,High,Saffron
Less than 10 acres,Arid,Sandy Soil,Successful,High,Fully Irrigated,Low,Medium,Cumin
10 to 100 acres,Tropical,Loamy Soil,New for Farming,Medium,Rain-fed,Moderate,High,Anise
10 to 100 acres,Tropical,Loamy Soil,New for Farming,Medium,Rain-fed,Moderate,Medium,Caraway
10 to 100 acres,Tropical,Loamy Soil,New for Farming,Medium,Rain-fed,Low,High,Dill
10 to 100 acres,Tropical,Loamy Soil,New for Farming,Medium,Rain-fed,Low,Medium,Hemp
10 to 100 acres,Tropical,Loamy Soil,New for Farming,Medium,Partial Irrigation,Moderate,High,Aloe Vera
10 to 100 acres,Tropical,Loamy Soil,New for Farming,Medium,Partial Irrigation,Moderate,Medium,Eucalyptus
10 to 100 acres,Tropical,Loamy Soil,New for Farming,Medium,Partial Irrigation,Low,High,Ginseng
10 to 100 acres,Tropical,Loamy Soil,New for Farming,Medium,Partial Irrigation,Low,Medium,Yerba Mate
10 to 100 acres,Tropical,Loamy Soil,New for Farming,Medium,Fully Irrigated,Moderate,High,Paddy
10 to 100 acres,Tropical,Loamy Soil,New for Farming,Medium,Fully Irrigated,Moderate,Medium,Wheat
10 to 100 acres,Tropical,Loamy Soil,New for Farming,Medium,Fully Irrigated,Low,High,Potato
10 to 100 acres,Tropical,Loamy Soil,New for Farming,Medium,Fully Irrigated,Low,Medium,Tomato
10 to 100 acres,Tropical,Loamy Soil,New for Farming,High,Rain-fed,Moderate,High,Corn
10 to 100 acres,Tropical,Loamy Soil,New for Farming,High,Rain-fed,Moderate,Medium,Barley
10 to 100 acres,Tropical,Loamy Soil,New for Farming,High,Rain-fed,Low,High,Carrot
10 to 100 acres,Tropical,Loamy Soil,New for Farming,High,Rain-fed,Low,Medium,Onion
10 to 100 acres,Tropical,Loamy Soil,New for Farming,High,Partial Irrigation,Moderate,High,Sugarcane
10 to 100 acres,Tropical,Loamy Soil,New for Farming,High,Partial Irrigation,Moderate,Medium,Soybean
10 to 100 acres,Tropical,Loamy Soil,New for Farming,High,Partial Irrigation,Low,High,Cabbage
10 to 100 acres,Tropical,Loamy Soil,New for Farming,High,Partial Irrigation,Low,Medium,Cauliflower
10 to 100 acres,Tropical,Loamy Soil,New for Farming,High,Fully Irrigated,Moderate,High,Spinach
10 to 100 acres,Tropical,Loamy Soil,New for Farming,High,Fully Irrigated,Moderate,Medium,Lettuce
10 to 100 acres,Tropical,Loamy Soil,New for Farming,High,Fully Irrigated,Low,High,Peas
10 to 100 acres,Tropical,Loamy Soil,New for Farming,High,Fully Irrigated,Low,Medium,Chickpeas
10 to 100 acres,Tropical,Loamy Soil,Successful,Medium,Rain-fed,Moderate,High,Lentils
10 to 100 acres,Tropical,Loamy Soil,Successful,Medium,Rain-fed,Moderate,Medium,Mustard
10 to 100 acres,Tropical,Loamy Soil,Successful,Medium,Rain-fed,Low,High,Sunflower
10 to 100 acres,Tropical,Loamy Soil,Successful,Medium,Rain-fed,Low,Medium,Groundnut
10 to 100 acres,Tropical,Loamy Soil,Successful,Medium,Partial Irrigation,Moderate,High,Cotton
10 to 100 acres,Tropical,Loamy Soil,Successful,Medium,Partial Irrigation,Moderate,Medium,Millet
10 to 100 acres,Tropical,Loamy Soil,Successful,Medium,Partial Irrigation,Low,High,Sorghum
10 to 100 acres,Tropical,Loamy Soil,Successful,Medium,Partial Irrigation,Low,Medium,Rice
10 to 100 acres,Tropical,Loamy Soil,Successful,Medium,Fully Irrigated,Moderate,High,Oats
10 to 100 acres,Tropical,Loamy Soil,Successful,Medium,Fully Irrigated,Moderate,Medium,Rye
10 to 100 acres,Tropical,Loamy Soil,Successful,Medium,Fully Irrigated,Low,High,Banana
10 to 100 acres,Tropical,Loamy Soil,Successful,Medium,Fully Irrigated,Low,Medium,Mango
10 to 100 acres,Tropical,Loamy Soil,Successful,High,Rain-fed,Moderate,High,Apple
10 to 100 acres,Tropical,Loamy Soil,Successful,High,Rain-fed,Moderate,Medium,Grapes
10 to 100 acres,Tropical,Loamy Soil,Successful,High,Rain-fed,Low,High,Orange
10 to 100 acres,Tropical,Loamy Soil,Successful,High,Rain-fed,Low,Medium,Papaya
10 to 100 acres,Tropical,Loamy Soil,Successful,High,Partial Irrigation,Moderate,High,Pineapple
10 to 100 acres,Tropical,Loamy Soil,Successful,High,Partial Irrigation,Moderate,Medium,Strawberry
10 to 100 acres,Tropical,Loamy Soil,Successful,High,Partial Irrigation,Low,High,Blueberry
10 to 100 acres,Tropical,Loamy Soil,Successful,High,Partial Irrigation,Low,Medium,Raspberry
10 to 100 acres,Tropical,Loamy Soil,Successful,High,Fully Irrigated,Moderate,High,Watermelon
10 to 100 acres,Tropical,Loamy Soil,Successful,High,Fully Irrigated,Moderate,Medium,Cucumber
10 to 100 acres,Tropical,Loamy Soil,Successful,High,Fully Irrigated,Low,High,Pumpkin
10 to 100 acres,Tropical,Loamy Soil,Successful,High,Fully Irrigated,Low,Medium,Zucchini
10 to 100 acres,Tropical,Clayey Soil,New for Farming,Medium,Rain-fed,Moderate,High,Bell Pepper
10 to 100 acres,Tropical,Clayey Soil,New for Farming,Medium,Rain-fed,Moderate,Medium,Chili Pepper
10 to 100 acres,Tropical,Clayey Soil,New for Farming,Medium,Rain-fed,Low,High,Brinjal (Eggplant)
10 to 100 acres,Tropical,Clayey Soil,New for Farming,Medium,Rain-fed,Low,Medium,Radish
10 to 100 acres,Tropical,Clayey Soil,New for Farming,Medium,Partial Irrigation,Moderate,High,Beetroot
10 to 100 acres,Tropical,Clayey Soil,New for Farming,Medium,Partial Irrigation,Moderate,Medium,Garlic
10 to 100 acres,Tropical,Clayey Soil,New for Farming,Medium,Partial Irrigation,Low,High,Ginger
10 to 100 acres,Tropical,Clayey Soil,New for Farming,Medium,Partial Irrigation,Low,Medium,Turmeric
10 to 100 acres,Tropical,Clayey Soil,New for Farming,Medium,Fully Irrigated,Moderate,High,Basil
10 to 100 acres,Tropical,Clayey Soil,New for Farming,Medium,Fully Irrigated,Moderate,Medium,Coriander
10 to 100 acres,Tropical,Clayey Soil,New for Farming,Medium,Fully Irrigated,Low,High,Parsley
10 to 100 acres,Tropical,Clayey Soil,New for Farming,Medium,Fully Irrigated,Low,Medium,Thyme
10 to 100 acres,Tropical,Clayey Soil,New for Farming,High,Rain-fed,Moderate,High,Rosemary
10 to 100 acres,Tropical,Clayey Soil,New for Farming,High,Rain-fed,Moderate,Medium,Lavender
10 to 100 acres,Tropical,Clayey Soil,New for Farming,High,Rain-fed,Low,High,Tea
10 to 100 acres,Tropical,Clayey Soil,New for Farming,High,Rain-fed,Low,Medium,Coffee
10 to 100 acres,Tropical,Clayey Soil,New for Farming,High,Partial Irrigation,Moderate,High,Cocoa
10 to 100 acres,Tropical,Clayey Soil,New for Farming,High,Partial Irrigation,Moderate,Medium,Cashew
10 to 100 acres,Tropical,Clayey Soil,New for Farming,High,Partial Irrigation,Low,High,Almond
10 to 100 acres,Tropical,Clayey Soil,New for Farming,High,Partial Irrigation,Low,Medium,Pistachio
10 to 100 acres,Tropical,Clayey Soil,New for Farming,High,Fully Irrigated,Moderate,High,Walnut
10 to 100 acres,Tropical,Clayey Soil,New for Farming,High,Fully Irrigated,Moderate,Medium,Coconut
10 to 100 acres,Tropical,Clayey Soil,New for Farming,High,Fully Irrigated,Low,High,Sesame
10 to 100 acres,Tropical,Clayey Soil,New for Farming,High,Fully Irrigated,Low,Medium,Flaxseed
10 to 100 acres,Tropical,Clayey Soil,Successful,Medium,Rain-fed,Moderate,High,Jute
10 to 100 acres,Tropical,Clayey Soil,Successful,Medium,Rain-fed,Moderate,Medium,Rubber
10 to 100 acres,Tropical,Clayey Soil,Successful,Medium,Rain-fed,Low,High,Vanilla
10 to 100 acres,Tropical,Clayey Soil,Successful,Medium,Rain-fed,Low,Medium,Cardamom
10 to 100 acres,Tropical,Clayey Soil,Successful,Medium,Partial Irrigation,Moderate,High,Clove
10 to 100 acres,Tropical,Clayey Soil,Successful,Medium,Partial Irrigation,Moderate,Medium,Nutmeg
10 to 100 acres,Tropical,Clayey Soil,Successful,Medium,Partial Irrigation,Low,High,Pepper
10 to 100 acres,Tropical,Clayey Soil,Successful,Medium,Partial Irrigation,Low,Medium,Fenugreek
10 to 100 acres,Tropical,Clayey Soil,Successful,Medium,Fully Irrigated,Moderate,High,Fennel
10 to 100 acres,Tropical,Clayey Soil,Successful,Medium,Fully Irrigated,Moderate,Medium,Celery
10 to 100 acres,Tropical,Clayey Soil,Successful,Medium,Fully Irrigated,Low,High,Asparagus
10 to 100 acres,Tropical,Clayey Soil,Successful,Medium,Fully Irrigated,Low,Medium,Okra
10 to 100 acres,Tropical,Clayey Soil,Successful,High,Rain-fed,Moderate,High,Bitter Gourd
10 to 100 acres,Tropical,Clayey Soil,Successful,High,Rain-fed,Moderate,Medium,Sweet Potato
10 to 100 acres,Tropical,Clayey Soil,Successful,High,Rain-fed,Low,High,Yam
10 to 100 acres,Tropical,Clayey Soil,Successful,High,Rain-fed,Low,Medium,Taro
10 to 100 acres,Tropical,Clayey Soil,Successful,High,Partial Irrigation,Moderate,High,Pear
10 to 100 acres,Tropical,Clayey Soil,Successful,High,Partial Irrigation,Moderate,Medium,Guava
10 to 100 acres,Tropical,Clayey Soil,Successful,High,Partial Irrigation,Low,High,Lychee
10 to 100 acres,Tropical,Clayey Soil,Successful,High,Partial Irrigation,Low,Medium,Pomegranate
10 to 100 acres,Tropical,Clayey Soil,Successful,High,Fully Irrigated,Moderate,High,Fig
10 to 100 acres,Tropical,Clayey Soil,Successful,High,Fully Irrigated,Moderate,Medium,Apricot
10 to 100 acres,Tropical,Clayey Soil,Successful,High,Fully Irrigated,Low,High,Peach
10 to 100 acres,Tropical,Clayey Soil,Successful,High,Fully Irrigated,Low,Medium,Cherry
10 to 100 acres,Tropical,Sandy Soil,New for Farming,Medium,Rain-fed,Moderate,High,Plum
10 to 100 acres,Tropical,Sandy Soil,New for Farming,Medium,Rain-fed,Moderate,Medium,Kiwi
10 to 100 acres,Tropical,Sandy Soil,New for Farming,Medium,Rain-fed,Low,High,Dragon Fruit
10 to 100 acres,Tropical,Sandy Soil,New for Farming,Medium,Rain-fed,Low,Medium,Jackfruit
10 to 100 acres,Tropical,Sandy Soil,New for Farming,Medium,Partial Irrigation,Moderate,High,Persimmon
10 to 100 acres,Tropical,Sandy Soil,New for Farming,Medium,Partial Irrigation,Moderate,Medium,Date Palm
10 to 100 acres,Tropical,Sandy Soil,New for Farming,Medium,Partial Irrigation,Low,High,Mulberry
10 to 100 acres,Tropical,Sandy Soil,New for Farming,Medium,Partial Irrigation,Low,Medium,Gooseberry
10 to 100 acres,Tropical,Sandy Soil,New for Farming,Medium,Fully Irrigated,Moderate,High,Elderberry
10 to 100 acres,Tropical,Sandy Soil,New for Farming,Medium,Fully Irrigated,Moderate,Medium,Blackberry
10 to 100 acres,Tropical,Sandy Soil,New for Farming,Medium,Fully Irrigated,Low,High,Hazelnut
10 to 100 acres,Tropical,Sandy Soil,New for Farming,Medium,Fully Irrigated,Low,Medium,Macadamia
10 to 100 acres,Tropical,Sandy Soil,New for Farming,High,Rain-fed,Moderate,High,Saffron
10 to 100 acres,Tropical,Sandy Soil,New for Farming,High,Rain-fed,Moderate,Medium,Cumin
10 to 100 acres,Tropical,Sandy Soil,New for Farming,High,Rain-fed,Low,High,Anise
10 to 100 acres,Tropical,Sandy Soil,New for Farming,High,Rain-fed,Low,Medium,Caraway
10 to 100 acres,Tropical,Sandy Soil,New for Farming,High,Partial Irrigation,Moderate,High,Dill
10 to 100 acres,Tropical,Sandy Soil,New for Farming,High,Partial Irrigation,Moderate,Medium,Hemp
10 to 100 acres,Tropical,Sandy Soil,New for Farming,High,Partial Irrigation,Low,High,Aloe Vera
10 to 100 acres,Tropical,Sandy Soil,New for Farming,High,Partial Irrigation,Low,Medium,Eucalyptus
