Maintenance,Water Requirement,Growth Habit,Size and Height,Uses,Recommended Plant
Medium,Low,Grass,Tall,Medicinal,Tropical Ginger (Zingiber zerumbet)
Medium,Low,Grass,Tall,Commercial,Red Banana (Ensete ventricosum)
Medium,Medium,Tree,Small,Ornamental,Rex Begonia (Begonia rex)
Medium,Medium,Tree,Small,Medicinal,Chili Pepper (Capsicum annuum)
Medium,Medium,Tree,Small,Commercial,Maranta (Maranta spp.)
Medium,Medium,Tree,Medium,Ornamental,Angel’s Trumpet (Brugmansia spp.)
Medium,Medium,Tree,Medium,Medicinal,Bird of Paradise (Strelitzia reginae)
Medium,Medium,Tree,Medium,Commercial,Dragon Tree (Dracaena draco)
Medium,Medium,Tree,Dwarf,Ornamental,Bamboo Palm (Chamaedorea seifrizii)
Medium,Medium,Tree,Dwarf,Medicinal,Kangaroo Paw (Anigozanthos spp.)
Medium,Medium,Tree,Dwarf,Commercial,Bougainvillea (Bougainvillea spp.)
Medium,Medium,Tree,Large,Ornamental,Plumeria (Plumeria spp.)
Medium,Medium,Tree,Large,Medicinal,Aloe Vera (Aloe barbadensis miller)
Medium,Medium,Tree,Large,Commercial,Oleander (Nerium oleander)
Medium,Medium,Tree,Tall,Ornamental,Canna Lily (Canna indica)
Medium,Medium,Tree,Tall,Medicinal,Hibiscus (Hibiscus rosa-sinensis)
Medium,Medium,Tree,Tall,Commercial,Yucca (Yucca filamentosa)
Medium,Medium,Shrub,Small,Ornamental,Desert Rose (Adenium obesum)
Medium,Medium,Shrub,Small,Medicinal,Heliconia (Heliconia spp.)
Medium,Medium,Shrub,Small,Commercial,Cypress (Cupressus spp.)
Medium,Medium,Shrub,Medium,Ornamental,Citrus Tree (Citrus spp.)
Medium,Medium,Shrub,Medium,Medicinal,Bitter Melon (Momordica charantia)
Medium,Medium,Shrub,Medium,Commercial,Passion Fruit Vine (Passiflora edulis)
Medium,Medium,Shrub,Dwarf,Ornamental,Jade Plant (Crassula ovata)
Medium,Medium,Shrub,Dwarf,Medicinal,Mango Tree (Mangifera indica)
Medium,Medium,Shrub,Dwarf,Commercial,Cocoa Tree (Theobroma cacao)
Medium,Medium,Shrub,Large,Ornamental,Tropical Ginger (Zingiber zerumbet)
Medium,Medium,Shrub,Large,Medicinal,Red Banana (Ensete ventricosum)
Medium,Medium,Shrub,Large,Commercial,Rex Begonia (Begonia rex)
Medium,Medium,Shrub,Tall,Ornamental,Chili Pepper (Capsicum annuum)
Medium,Medium,Shrub,Tall,Medicinal,Maranta (Maranta spp.)
Medium,Medium,Shrub,Tall,Commercial,Angel’s Trumpet (Brugmansia spp.)
Medium,Medium,Vine,Small,Ornamental,Bird of Paradise (Strelitzia reginae)
Medium,Medium,Vine,Small,Medicinal,Dragon Tree (Dracaena draco)
Medium,Medium,Vine,Small,Commercial,Bamboo Palm (Chamaedorea seifrizii)
Medium,Medium,Vine,Medium,Ornamental,Kangaroo Paw (Anigozanthos spp.)
Medium,Medium,Vine,Medium,Medicinal,Bougainvillea (Bougainvillea spp.)
Medium,Medium,Vine,Medium,Commercial,Plumeria (Plumeria spp.)
Medium,Medium,Vine,Dwarf,Ornamental,Aloe Vera (Aloe barbadensis miller)
Medium,Medium,Vine,Dwarf,Medicinal,Oleander (Nerium oleander)
Medium,Medium,Vine,Dwarf,Commercial,Canna Lily (Canna indica)
Medium,Medium,Vine,Large,Ornamental,Hibiscus (Hibiscus rosa-sinensis)
Medium,Medium,Vine,Large,Medicinal,Yucca (Yucca filamentosa)
Medium,Medium,Vine,Large,Commercial,Desert Rose (Adenium obesum)
Medium,Medium,Vine,Tall,Ornamental,Heliconia (Heliconia spp.)
Medium,Medium,Vine,Tall,Medicinal,Cypress (Cupressus spp.)
Medium,Medium,Vine,Tall,Commercial,Citrus Tree (Citrus spp.)
Medium,Medium,Ground cover,Small,Ornamental,Bitter Melon (Momordica charantia)
Medium,Medium,Ground cover,Small,Medicinal,Passion Fruit Vine (Passiflora edulis)
Medium,Medium,Ground cover,Small,Commercial,Jade Plant (Crassula ovata)
Medium,Medium,Ground cover,Medium,Ornamental,Mango Tree (Mangifera indica)
Medium,Medium,Ground cover,Medium,Medicinal,Cocoa Tree (Theobroma cacao)
Medium,Medium,Ground cover,Medium,Commercial,Tropical Ginger (Zingiber zerumbet)
Medium,Medium,Ground cover,Dwarf,Ornamental,Red Banana (Ensete ventricosum)
Medium,Medium,Ground cover,Dwarf,Medicinal,Rex Begonia (Begonia rex)
Medium,Medium,Ground cover,Dwarf,Commercial,Chili Pepper (Capsicum annuum)
Medium,Medium,Ground cover,Large,Ornamental,Maranta (Maranta spp.)
Medium,Medium,Ground cover,Large,Medicinal,Angel’s Trumpet (Brugmansia spp.)
Medium,Medium,Ground cover,Large,Commercial,Bird of Paradise (Strelitzia reginae)
Medium,Medium,Ground cover,Tall,Ornamental,Dragon Tree (Dracaena draco)
Medium,Medium,Ground cover,Tall,Medicinal,Bamboo Palm (Chamaedorea seifrizii)
Medium,Medium,Ground cover,Tall,Commercial,Kangaroo Paw (Anigozanthos spp.)
Medium,Medium,Herbaceous,Small,Ornamental,Bougainvillea (Bougainvillea spp.)
Medium,Medium,Herbaceous,Small,Medicinal,Plumeria (Plumeria spp.)
Medium,Medium,Herbaceous,Small,Commercial,Aloe Vera (Aloe barbadensis miller)
Medium,Medium,Herbaceous,Medium,Ornamental,Oleander (Nerium oleander)
Medium,Medium,Herbaceous,Medium,Medicinal,Canna Lily (Canna indica)
Medium,Medium,Herbaceous,Medium,Commercial,Hibiscus (Hibiscus rosa-sinensis)
Medium,Medium,Herbaceous,Dwarf,Ornamental,Yucca (Yucca filamentosa)
Medium,Medium,Herbaceous,Dwarf,Medicinal,Desert Rose (Adenium obesum)
Medium,Medium,Herbaceous,Dwarf,Commercial,Heliconia (Heliconia spp.)
Medium,Medium,Herbaceous,Large,Ornamental,Cypress (Cupressus spp.)
Medium,Medium,Herbaceous,Large,Medicinal,Citrus Tree (Citrus spp.)
Medium,Medium,Herbaceous,Large,Commercial,Bitter Melon (Momordica charantia)
Medium,Medium,Herbaceous,Tall,Ornamental,Passion Fruit Vine (Passiflora edulis)
Medium,Medium,Herbaceous,Tall,Medicinal,Jade Plant (Crassula ovata)
Medium,Medium,Herbaceous,Tall,Commercial,Mango Tree (Mangifera indica)
Medium,Medium,Grass,Small,Ornamental,Cocoa Tree (Theobroma cacao)
Medium,Medium,Grass,Small,Medicinal,Tropical Ginger (Zingiber zerumbet)
Medium,Medium,Grass,Small,Commercial,Red Banana (Ensete ventricosum)
Medium,Medium,Grass,Medium,Ornamental,Rex Begonia (Begonia rex)
Medium,Medium,Grass,Medium,Medicinal,Chili Pepper (Capsicum annuum)
Medium,Medium,Grass,Medium,Commercial,Maranta (Maranta spp.)
Medium,Medium,Grass,Dwarf,Ornamental,Angel’s Trumpet (Brugmansia spp.)
Medium,Medium,Grass,Dwarf,Medicinal,Bird of Paradise (Strelitzia reginae)
Medium,Medium,Grass,Dwarf,Commercial,Dragon Tree (Dracaena draco)
Medium,Medium,Grass,Large,Ornamental,Bamboo Palm (Chamaedorea seifrizii)
Medium,Medium,Grass,Large,Medicinal,Kangaroo Paw (Anigozanthos spp.)
Medium,Medium,Grass,Large,Commercial,Bougainvillea (Bougainvillea spp.)
Medium,Medium,Grass,Tall,Ornamental,Plumeria (Plumeria spp.)
Medium,Medium,Grass,Tall,Medicinal,Aloe Vera (Aloe barbadensis miller)
Medium,Medium,Grass,Tall,Commercial,Oleander (Nerium oleander)
Medium,High,Tree,Small,Ornamental,Canna Lily (Canna indica)
Medium,High,Tree,Small,Medicinal,Hibiscus (Hibiscus rosa-sinensis)
Medium,High,Tree,Small,Commercial,Yucca (Yucca filamentosa)
Medium,High,Tree,Medium,Ornamental,Desert Rose (Adenium obesum)
Medium,High,Tree,Medium,Medicinal,Heliconia (Heliconia spp.)
Medium,High,Tree,Medium,Commercial,Cypress (Cupressus spp.)
Medium,High,Tree,Dwarf,Ornamental,Citrus Tree (Citrus spp.)
Medium,High,Tree,Dwarf,Medicinal,Bitter Melon (Momordica charantia)
Medium,High,Tree,Dwarf,Commercial,Passion Fruit Vine (Passiflora edulis)
Medium,High,Tree,Large,Ornamental,Jade Plant (Crassula ovata)
Medium,High,Tree,Large,Medicinal,Mango Tree (Mangifera indica)
Medium,High,Tree,Large,Commercial,Cocoa Tree (Theobroma cacao)
Medium,High,Tree,Tall,Ornamental,Tropical Ginger (Zingiber zerumbet)
Medium,High,Tree,Tall,Medicinal,Red Banana (Ensete ventricosum)
Medium,High,Tree,Tall,Commercial,Rex Begonia (Begonia rex)
Medium,High,Shrub,Small,Ornamental,Chili Pepper (Capsicum annuum)
Medium,High,Shrub,Small,Medicinal,Maranta (Maranta spp.)
Medium,High,Shrub,Small,Commercial,Angel’s Trumpet (Brugmansia spp.)
Medium,High,Shrub,Medium,Ornamental,Bird of Paradise (Strelitzia reginae)
Medium,High,Shrub,Medium,Medicinal,Dragon Tree (Dracaena draco)
Medium,High,Shrub,Medium,Commercial,Bamboo Palm (Chamaedorea seifrizii)
Medium,High,Shrub,Dwarf,Ornamental,Kangaroo Paw (Anigozanthos spp.)
Medium,High,Shrub,Dwarf,Medicinal,Bougainvillea (Bougainvillea spp.)
Medium,High,Shrub,Dwarf,Commercial,Plumeria (Plumeria spp.)
Medium,High,Shrub,Large,Ornamental,Aloe Vera (Aloe barbadensis miller)
Medium,High,Shrub,Large,Medicinal,Oleander (Nerium oleander)
Medium,High,Shrub,Large,Commercial,Canna Lily (Canna indica)
Medium,High,Shrub,Tall,Ornamental,Hibiscus (Hibiscus rosa-sinensis)
Medium,High,Shrub,Tall,Medicinal,Yucca (Yucca filamentosa)
Medium,High,Shrub,Tall,Commercial,Desert Rose (Adenium obesum)
Medium,High,Vine,Small,Ornamental,Heliconia (Heliconia spp.)
Medium,High,Vine,Small,Medicinal,Cypress (Cupressus spp.)
Medium,High,Vine,Small,Commercial,Citrus Tree (Citrus spp.)
Medium,High,Vine,Medium,Ornamental,Bitter Melon (Momordica charantia)
Medium,High,Vine,Medium,Medicinal,Passion Fruit Vine (Passiflora edulis)
Medium,High,Vine,Medium,Commercial,Jade Plant (Crassula ovata)
Medium,High,Vine,Dwarf,Ornamental,Mango Tree (Mangifera indica)
Medium,High,Vine,Dwarf,Medicinal,Cocoa Tree (Theobroma cacao)
Medium,High,Vine,Dwarf,Commercial,Tropical Ginger (Zingiber zerumbet)
Medium,High,Vine,Large,Ornamental,Red Banana (Ensete ventricosum)
Medium,High,Vine,Large,Medicinal,Rex Begonia (Begonia rex)
Medium,High,Vine,Large,Commercial,Chili Pepper (Capsicum annuum)
Medium,High,Vine,Tall,Ornamental,Maranta (Maranta spp.)
Medium,High,Vine,Tall,Medicinal,Angel’s Trumpet (Brugmansia spp.)
Medium,High,Vine,Tall,Commercial,Bird of Paradise (Strelitzia reginae)
Medium,High,Ground cover,Small,Ornamental,Dragon Tree (Dracaena draco)
Medium,High,Ground cover,Small,Medicinal,Bamboo Palm (Chamaedorea seifrizii)
Medium,High,Ground cover,Small,Commercial,Kangaroo Paw (Anigozanthos spp.)
Medium,High,Ground cover,Medium,Ornamental,Bougainvillea (Bougainvillea spp.)
Medium,High,Ground cover,Medium,Medicinal,Plumeria (Plumeria spp.)
Medium,High,Ground cover,Medium,Commercial,Aloe Vera (Aloe barbadensis miller)
Medium,High,Ground cover,Dwarf,Ornamental,Oleander (Nerium oleander)
Medium,High,Ground cover,Dwarf,Medicinal,Canna Lily (Canna indica)
Medium,High,Ground cover,Dwarf,Commercial,Hibiscus (Hibiscus rosa-sinensis)
Medium,High,Ground cover,Large,Ornamental,Yucca (Yucca filamentosa)
Medium,High,Ground cover,Large,Medicinal,Desert Rose (Adenium obesum)
Medium,High,Ground cover,Large,Commercial,Heliconia (Heliconia spp.)
Medium,High,Ground cover,Tall,Ornamental,Cypress (Cupressus spp.)
Medium,High,Ground cover,Tall,Medicinal,Citrus Tree (Citrus spp.)
Medium,High,Ground cover,Tall,Commercial,Bitter Melon (Momordica charantia)
Medium,High,Herbaceous,Small,Ornamental,Passion Fruit Vine (Passiflora edulis)
Medium,High,Herbaceous,Small,Medicinal,Jade Plant (Crassula ovata)
Medium,High,Herbaceous,Small,Commercial,Mango Tree (Mangifera indica)
Medium,High,Herbaceous,Medium,Ornamental,Cocoa Tree (Theobroma cacao)
Medium,High,Herbaceous,Medium,Medicinal,Tropical Ginger (Zingiber zerumbet)
Medium,High,Herbaceous,Medium,Commercial,Red Banana (Ensete ventricosum)
Medium,High,Herbaceous,Dwarf,Ornamental,Rex Begonia (Begonia rex)
Medium,High,Herbaceous,Dwarf,Medicinal,Chili Pepper (Capsicum annuum)
Medium,High,Herbaceous,Dwarf,Commercial,Maranta (Maranta spp.)
Medium,High,Herbaceous,Large,Ornamental,Angel’s Trumpet (Brugmansia spp.)
Medium,High,Herbaceous,Large,Medicinal,Bird of Paradise (Strelitzia reginae)
Medium,High,Herbaceous,Large,Commercial,Dragon Tree (Dracaena draco)
Medium,High,Herbaceous,Tall,Ornamental,Bamboo Palm (Chamaedorea seifrizii)
Medium,High,Herbaceous,Tall,Medicinal,Kangaroo Paw (Anigozanthos spp.)
Medium,High,Herbaceous,Tall,Commercial,Bougainvillea (Bougainvillea spp.)
Medium,High,Grass,Small,Ornamental,Plumeria (Plumeria spp.)
Medium,High,Grass,Small,Medicinal,Aloe Vera (Aloe barbadensis miller)
Medium,High,Grass,Small,Commercial,Oleander (Nerium oleander)
Medium,High,Grass,Medium,Ornamental,Canna Lily (Canna indica)
Medium,High,Grass,Medium,Medicinal,Hibiscus (Hibiscus rosa-sinensis)
Medium,High,Grass,Medium,Commercial,Yucca (Yucca filamentosa)
Medium,High,Grass,Dwarf,Ornamental,Desert Rose (Adenium obesum)
Medium,High,Grass,Dwarf,Medicinal,Heliconia (Heliconia spp.)
Medium,High,Grass,Dwarf,Commercial,Cypress (Cupressus spp.)
Medium,High,Grass,Large,Ornamental,Citrus Tree (Citrus spp.)
Medium,High,Grass,Large,Medicinal,Bitter Melon (Momordica charantia)
Medium,High,Grass,Large,Commercial,Passion Fruit Vine (Passiflora edulis)
Medium,High,Grass,Tall,Ornamental,Jade Plant (Crassula ovata)
Medium,High,Grass,Tall,Medicinal,Mango Tree (Mangifera indica)
Medium,High,Grass,Tall,Commercial,Cocoa Tree (Theobroma cacao)
High,Low,Tree,Small,Ornamental,Tropical Ginger (Zingiber zerumbet)
High,Low,Tree,Small,Medicinal,Red Banana (Ensete ventricosum)
High,Low,Tree,Small,Commercial,Rex Begonia (Begonia rex)
High,Low,Tree,Medium,Ornamental,Chili Pepper (Capsicum annuum)
High,Low,Tree,Medium,Medicinal,Maranta (Maranta spp.)
High,Low,Tree,Medium,Commercial,Angel’s Trumpet (Brugmansia spp.)
High,Low,Tree,Dwarf,Ornamental,Bird of Paradise (Strelitzia reginae)
High,Low,Tree,Dwarf,Medicinal,Dragon Tree (Dracaena draco)
High,Low,Tree,Dwarf,Commercial,Bamboo Palm (Chamaedorea seifrizii)
High,Low,Tree,Large,Ornamental,Kangaroo Paw (Anigozanthos spp.)
High,Low,Tree,Large,Medicinal,Bougainvillea (Bougainvillea spp.)
High,Low,Tree,Large,Commercial,Plumeria (Plumeria spp.)
High,Low,Tree,Tall,Ornamental,Aloe Vera (Aloe barbadensis miller)
High,Low,Tree,Tall,Medicinal,Oleander (Nerium oleander)
High,Low,Tree,Tall,Commercial,Canna Lily (Canna indica)
High,Low,Shrub,Small,Ornamental,Hibiscus (Hibiscus rosa-sinensis)
High,Low,Shrub,Small,Medicinal,Yucca (Yucca filamentosa)
High,Low,Shrub,Small,Commercial,Desert Rose (Adenium obesum)
High,Low,Shrub,Medium,Ornamental,Heliconia (Heliconia spp.)
High,Low,Shrub,Medium,Medicinal,Cypress (Cupressus spp.)
High,Low,Shrub,Medium,Commercial,Citrus Tree (Citrus spp.)
High,Low,Shrub,Dwarf,Ornamental,Bitter Melon (Momordica charantia)
High,Low,Shrub,Dwarf,Medicinal,Passion Fruit Vine (Passiflora edulis)
High,Low,Shrub,Dwarf,Commercial,Jade Plant (Crassula ovata)
High,Low,Shrub,Large,Ornamental,Mango Tree (Mangifera indica)
High,Low,Shrub,Large,Medicinal,Cocoa Tree (Theobroma cacao)
High,Low,Shrub,Large,Commercial,Tropical Ginger (Zingiber zerumbet)
High,Low,Shrub,Tall,Ornamental,Red Banana (Ensete ventricosum)
High,Low,Shrub,Tall,Medicinal,Rex Begonia (Begonia rex)
High,Low,Shrub,Tall,Commercial,Chili Pepper (Capsicum annuum)
High,Low,Vine,Small,Ornamental,Maranta (Maranta spp.)
High,Low,Vine,Small,Medicinal,Angel’s Trumpet (Brugmansia spp.)
High,Low,Vine,Small,Commercial,Bird of Paradise (Strelitzia reginae)
High,Low,Vine,Medium,Ornamental,Dragon Tree (Dracaena draco)
High,Low,Vine,Medium,Medicinal,Bamboo Palm (Chamaedorea seifrizii)
High,Low,Vine,Medium,Commercial,Kangaroo Paw (Anigozanthos spp.)
High,Low,Vine,Dwarf,Ornamental,Bougainvillea (Bougainvillea spp.)
High,Low,Vine,Dwarf,Medicinal,Plumeria (Plumeria spp.)
High,Low,Vine,Dwarf,Commercial,Aloe Vera (Aloe barbadensis miller)
High,Low,Vine,Large,Ornamental,Oleander (Nerium oleander)
High,Low,Vine,Large,Medicinal,Canna Lily (Canna indica)
High,Low,Vine,Large,Commercial,Hibiscus (Hibiscus rosa-sinensis)
High,Low,Vine,Tall,Ornamental,Yucca (Yucca filamentosa)
High,Low,Vine,Tall,Medicinal,Desert Rose (Adenium obesum)
High,Low,Vine,Tall,Commercial,Heliconia (Heliconia spp.)
High,Low,Ground cover,Small,Ornamental,Cypress (Cupressus spp.)
High,Low,Ground cover,Small,Medicinal,Citrus Tree (Citrus spp.)
High,Low,Ground cover,Small,Commercial,Bitter Melon (Momordica charantia)
High,Low,Ground cover,Medium,Ornamental,Passion Fruit Vine (Passiflora edulis)
High,Low,Ground cover,Medium,Medicinal,Jade Plant (Crassula ovata)
High,Low,Ground cover,Medium,Commercial,Mango Tree (Mangifera indica)
High,Low,Ground cover,Dwarf,Ornamental,Cocoa Tree (Theobroma cacao)
High,Low,Ground cover,Dwarf,Medicinal,Tropical Ginger (Zingiber zerumbet)
High,Low,Ground cover,Dwarf,Commercial,Red Banana (Ensete ventricosum)
High,Low,Ground cover,Large,Ornamental,Rex Begonia (Begonia rex)
High,Low,Ground cover,Large,Medicinal,Chili Pepper (Capsicum annuum)
High,Low,Ground cover,Large,Commercial,Maranta (Maranta spp.)
High,Low,Ground cover,Tall,Ornamental,Angel’s Trumpet (Brugmansia spp.)
High,Low,Ground cover,Tall,Medicinal,Bird of Paradise (Strelitzia reginae)
High,Low,Ground cover,Tall,Commercial,Dragon Tree (Dracaena draco)
High,Low,Herbaceous,Small,Ornamental,Bamboo Palm (Chamaedorea seifrizii)
High,Low,Herbaceous,Small,Medicinal,Kangaroo Paw (Anigozanthos spp.)
High,Low,Herbaceous,Small,Commercial,Bougainvillea (Bougainvillea spp.)
High,Low,Herbaceous,Medium,Ornamental,Plumeria (Plumeria spp.)
High,Low,Herbaceous,Medium,Medicinal,Aloe Vera (Aloe barbadensis miller)
High,Low,Herbaceous,Medium,Commercial,Oleander (Nerium oleander)
High,Low,Herbaceous,Dwarf,Ornamental,Canna Lily (Canna indica)
High,Low,Herbaceous,Dwarf,Medicinal,Hibiscus (Hibiscus rosa-sinensis)
High,Low,Herbaceous,Dwarf,Commercial,Yucca (Yucca filamentosa)
High,Low,Herbaceous,Large,Ornamental,Desert Rose (Adenium obesum)
High,Low,Herbaceous,Large,Medicinal,Heliconia (Heliconia spp.)
High,Low,Herbaceous,Large,Commercial,Cypress (Cupressus spp.)
High,Low,Herbaceous,Tall,Ornamental,Citrus Tree (Citrus spp.)
High,Low,Herbaceous,Tall,Medicinal,Bitter Melon (Momordica charantia)
High,Low,Herbaceous,Tall,Commercial,Passion Fruit Vine (Passiflora edulis)
High,Low,Grass,Small,Ornamental,Jade Plant (Crassula ovata)
High,Low,Grass,Small,Medicinal,Mango Tree (Mangifera indica)
High,Low,Grass,Small,Commercial,Cocoa Tree (Theobroma cacao)
High,Low,Grass,Medium,Ornamental,Tropical Ginger (Zingiber zerumbet)
High,Low,Grass,Medium,Medicinal,Red Banana (Ensete ventricosum)
High,Low,Grass,Medium,Commercial,Rex Begonia (Begonia rex)
High,Low,Grass,Dwarf,Ornamental,Chili Pepper (Capsicum annuum)
High,Low,Grass,Dwarf,Medicinal,Maranta (Maranta spp.)
High,Low,Grass,Dwarf,Commercial,Angel’s Trumpet (Brugmansia spp.)
High,Low,Grass,Large,Ornamental,Bird of Paradise (Strelitzia reginae)
High,Low,Grass,Large,Medicinal,Dragon Tree (Dracaena draco)
High,Low,Grass,Large,Commercial,Bamboo Palm (Chamaedorea seifrizii)
High,Low,Grass,Tall,Ornamental,Kangaroo Paw (Anigozanthos spp.)
High,Low,Grass,Tall,Medicinal,Bougainvillea (Bougainvillea spp.)
High,Low,Grass,Tall,Commercial,Plumeria (Plumeria spp.)
High,Medium,Tree,Small,Ornamental,Aloe Vera (Aloe barbadensis miller)
High,Medium,Tree,Small,Medicinal,Oleander (Nerium oleander)
High,Medium,Tree,Small,Commercial,Canna Lily (Canna indica)
High,Medium,Tree,Medium,Ornamental,Hibiscus (Hibiscus rosa-sinensis)
High,Medium,Tree,Medium,Medicinal,Yucca (Yucca filamentosa)
High,Medium,Tree,Medium,Commercial,Desert Rose (Adenium obesum)
High,Medium,Tree,Dwarf,Ornamental,Heliconia (Heliconia spp.)
High,Medium,Tree,Dwarf,Medicinal,Cypress (Cupressus spp.)
High,Medium,Tree,Dwarf,Commercial,Citrus Tree (Citrus spp.)
High,Medium,Tree,Large,Ornamental,Bitter Melon (Momordica charantia)
High,Medium,Tree,Large,Medicinal,Passion Fruit Vine (Passiflora edulis)
High,Medium,Tree,Large,Commercial,Jade Plant (Crassula ovata)
High,Medium,Tree,Tall,Ornamental,Mango Tree (Mangifera indica)
High,Medium,Tree,Tall,Medicinal,Cocoa Tree (Theobroma cacao)
High,Medium,Tree,Tall,Commercial,Tropical Ginger (Zingiber zerumbet)
High,Medium,Shrub,Small,Ornamental,Red Banana (Ensete ventricosum)
High,Medium,Shrub,Small,Medicinal,Rex Begonia (Begonia rex)
High,Medium,Shrub,Small,Commercial,Chili Pepper (Capsicum annuum)
High,Medium,Shrub,Medium,Ornamental,Maranta (Maranta spp.)
High,Medium,Shrub,Medium,Medicinal,Angel’s Trumpet (Brugmansia spp.)
High,Medium,Shrub,Medium,Commercial,Bird of Paradise (Strelitzia reginae)
High,Medium,Shrub,Dwarf,Ornamental,Dragon Tree (Dracaena draco)
High,Medium,Shrub,Dwarf,Medicinal,Bamboo Palm (Chamaedorea seifrizii)
High,Medium,Shrub,Dwarf,Commercial,Kangaroo Paw (Anigozanthos spp.)
High,Medium,Shrub,Large,Ornamental,Bougainvillea (Bougainvillea spp.)
High,Medium,Shrub,Large,Medicinal,Plumeria (Plumeria spp.)
High,Medium,Shrub,Large,Commercial,Aloe Vera (Aloe barbadensis miller)
High,Medium,Shrub,Tall,Ornamental,Oleander (Nerium oleander)
High,Medium,Shrub,Tall,Medicinal,Canna Lily (Canna indica)
High,Medium,Shrub,Tall,Commercial,Hibiscus (Hibiscus rosa-sinensis)
High,Medium,Vine,Small,Ornamental,Yucca (Yucca filamentosa)
High,Medium,Vine,Small,Medicinal,Desert Rose (Adenium obesum)
High,Medium,Vine,Small,Commercial,Heliconia (Heliconia spp.)
High,Medium,Vine,Medium,Ornamental,Cypress (Cupressus spp.)
High,Medium,Vine,Medium,Medicinal,Citrus Tree (Citrus spp.)
High,Medium,Vine,Medium,Commercial,Bitter Melon (Momordica charantia)
High,Medium,Vine,Dwarf,Ornamental,Passion Fruit Vine (Passiflora edulis)
High,Medium,Vine,Dwarf,Medicinal,Jade Plant (Crassula ovata)
High,Medium,Vine,Dwarf,Commercial,Mango Tree (Mangifera indica)
High,Medium,Vine,Large,Ornamental,Cocoa Tree (Theobroma cacao)
High,Medium,Vine,Large,Medicinal,Tropical Ginger (Zingiber zerumbet)
High,Medium,Vine,Large,Commercial,Red Banana (Ensete ventricosum)
High,Medium,Vine,Tall,Ornamental,Rex Begonia (Begonia rex)
High,Medium,Vine,Tall,Medicinal,Chili Pepper (Capsicum annuum)
High,Medium,Vine,Tall,Commercial,Maranta (Maranta spp.)
High,Medium,Ground cover,Small,Ornamental,Angel’s Trumpet (Brugmansia spp.)
High,Medium,Ground cover,Small,Medicinal,Bird of Paradise (Strelitzia reginae)
High,Medium,Ground cover,Small,Commercial,Dragon Tree (Dracaena draco)
High,Medium,Ground cover,Medium,Ornamental,Bamboo Palm (Chamaedorea seifrizii)
High,Medium,Ground cover,Medium,Medicinal,Kangaroo Paw (Anigozanthos spp.)
High,Medium,Ground cover,Medium,Commercial,Bougainvillea (Bougainvillea spp.)
High,Medium,Ground cover,Dwarf,Ornamental,Plumeria (Plumeria spp.)
High,Medium,Ground cover,Dwarf,Medicinal,Aloe Vera (Aloe barbadensis miller)
High,Medium,Ground cover,Dwarf,Commercial,Oleander (Nerium oleander)
High,Medium,Ground cover,Large,Ornamental,Canna Lily (Canna indica)
High,Medium,Ground cover,Large,Medicinal,Hibiscus (Hibiscus rosa-sinensis)
High,Medium,Ground cover,Large,Commercial,Yucca (Yucca filamentosa)
High,Medium,Ground cover,Tall,Ornamental,Desert Rose (Adenium obesum)
High,Medium,Ground cover,Tall,Medicinal,Heliconia (Heliconia spp.)
High,Medium,Ground cover,Tall,Commercial,Cypress (Cupressus spp.)
High,Medium,Herbaceous,Small,Ornamental,Citrus Tree (Citrus spp.)
High,Medium,Herbaceous,Small,Medicinal,Bitter Melon (Momordica charantia)
High,Medium,Herbaceous,Small,Commercial,Passion Fruit Vine (Passiflora edulis)
High,Medium,Herbaceous,Medium,Ornamental,Jade Plant (Crassula ovata)
High,Medium,Herbaceous,Medium,Medicinal,Mango Tree (Mangifera indica)
High,Medium,Herbaceous,Medium,Commercial,Cocoa Tree (Theobroma cacao)
High,Medium,Herbaceous,Dwarf,Ornamental,Tropical Ginger (Zingiber zerumbet)
High,Medium,Herbaceous,Dwarf,Medicinal,Red Banana (Ensete ventricosum)
High,Medium,Herbaceous,Dwarf,Commercial,Rex Begonia (Begonia rex)
High,Medium,Herbaceous,Large,Ornamental,Chili Pepper (Capsicum annuum)
High,Medium,Herbaceous,Large,Medicinal,Maranta (Maranta spp.)
High,Medium,Herbaceous,Large,Commercial,Angel’s Trumpet (Brugmansia spp.)
High,Medium,Herbaceous,Tall,Ornamental,Bird of Paradise (Strelitzia reginae)
High,Medium,Herbaceous,Tall,Medicinal,Dragon Tree (Dracaena draco)
High,Medium,Herbaceous,Tall,Commercial,Bamboo Palm (Chamaedorea seifrizii)
High,Medium,Grass,Small,Ornamental,Kangaroo Paw (Anigozanthos spp.)
High,Medium,Grass,Small,Medicinal,Bougainvillea (Bougainvillea spp.)
High,Medium,Grass,Small,Commercial,Plumeria (Plumeria spp.)
High,Medium,Grass,Medium,Ornamental,Aloe Vera (Aloe barbadensis miller)
High,Medium,Grass,Medium,Medicinal,Oleander (Nerium oleander)
High,Medium,Grass,Medium,Commercial,Canna Lily (Canna indica)
High,Medium,Grass,Dwarf,Ornamental,Hibiscus (Hibiscus rosa-sinensis)
High,Medium,Grass,Dwarf,Medicinal,Yucca (Yucca filamentosa)
High,Medium,Grass,Dwarf,Commercial,Desert Rose (Adenium obesum)
High,Medium,Grass,Large,Ornamental,Heliconia (Heliconia spp.)
High,Medium,Grass,Large,Medicinal,Cypress (Cupressus spp.)
High,Medium,Grass,Large,Commercial,Citrus Tree (Citrus spp.)
